filename,true_positives,false_positives,false_negatives,total_completed,total_initial,mean_iou,precision,recall,f_score
00320002_2024-04-20_1_0699a5194e_processed_00143.txt,1,0,0,1,1,0.9999903156559145,1,1,1
00320002_2024-04-20_1_0699a5194e_processed_00255.txt,6,2,1,8,7,0.9998203093384173,0.75,0.8571428571428571,0.7999999999999999
00320002_2024-07-11_2_340182c04c_processed_00031.txt,2,5,2,7,4,0.9789510458688381,0.2857142857142857,0.5,0.36363636363636365
00320002_2024-07-11_2_340182c04c_processed_00215.txt,1,8,4,9,5,0.9999627637882679,0.1111111111111111,0.2,0.14285714285714285
00320002_2024-07-11_2_340182c04c_processed_00234.txt,7,1,2,8,9,0.9879202630052921,0.875,0.7777777777777778,0.823529411764706
00320002_2024-07-11_2_340182c04c_processed_00932.txt,12,6,7,18,20,0.9743097390973233,0.6666666666666666,0.631578947368421,0.6486486486486486
00320002_2024-07-11_2_340182c04c_processed_00997.txt,19,2,3,21,22,0.9999004609448525,0.9047619047619048,0.8636363636363636,0.8837209302325582
00320003_2024-06-28_1_a7ccdaefbc_processed_00224.txt,2,4,2,6,4,0.9998459805110512,0.3333333333333333,0.5,0.4
00320003_2024-06-28_1_a7ccdaefbc_processed_00297.txt,6,6,5,12,11,0.9996365486837473,0.5,0.5454545454545454,0.5217391304347826
00320003_2024-06-28_1_a7ccdaefbc_processed_00300.txt,6,5,2,11,8,0.9995906173147806,0.5454545454545454,0.75,0.631578947368421
00320003_2024-06-28_1_a7ccdaefbc_processed_00367.txt,1,5,6,6,8,0.8563159443639967,0.16666666666666666,0.14285714285714285,0.15384615384615383
00320003_2024-06-28_1_a7ccdaefbc_processed_00496.txt,5,5,2,10,8,0.9360203858925233,0.5,0.7142857142857143,0.588235294117647
00320003_2024-11-30_3_2252e8fc67_processed_00003.txt,4,18,6,22,10,0.9998388785225167,0.18181818181818182,0.4,0.25000000000000006
00320003_2024-11-30_3_2252e8fc67_processed_00321.txt,2,3,2,5,5,0.6578511347468495,0.4,0.5,0.4444444444444445
00320003_2024-11-30_3_2252e8fc67_processed_00703.txt,1,9,2,10,3,0.999987805068086,0.1,0.3333333333333333,0.15384615384615383
00360001_2024-08-20_1_6d8c7a2f45_processed_00149.txt,2,1,5,3,7,0.9999660760398865,0.6666666666666666,0.2857142857142857,0.4
00360001_2024-08-20_1_6d8c7a2f45_processed_00180.txt,1,6,4,7,6,0.8029749791395291,0.14285714285714285,0.2,0.16666666666666666
