item_id,language,form,item_kind,category,item_definition,english_gloss,uni_lemma,is_animate,is_small,is_big,is_bodypart,is_place,lexical_category,complexity_category,sense,alternative_forms,multiword,AoA
item_197,English (American),WS,word,body_parts,head,head,head,0,0,0,1,0,nouns,,,,no,22
item_198,English (American),WS,word,body_parts,knee,knee,knee,0,0,0,1,0,nouns,,,,no,24
item_199,English (American),WS,word,body_parts,leg,leg,leg,0,0,0,1,0,nouns,,,,no,24
item_20,English (American),WS,word,animals,bunny,bunny,bunny,1,0,0,0,0,nouns,,,,no,22
item_200,English (American),WS,word,body_parts,lips,lips,lip,0,0,0,1,0,nouns,,,,no,26
item_201,English (American),WS,word,body_parts,mouth,mouth,mouth,0,0,0,1,0,nouns,,,,no,21
item_202,English (American),WS,word,body_parts,nose,nose,nose,0,0,0,1,0,nouns,,,,no,18
item_203,English (American),WS,word,body_parts,owie,owie,owie,0,0,0,0,0,nouns,,,boo boo,no,20
item_204,English (American),WS,word,body_parts,penis,penis,penis,0,0,0,1,0,nouns,,,,no,27
item_205,English (American),WS,word,body_parts,shoulder,shoulder,shoulder,0,0,0,1,0,nouns,,,,no,28
item_206,English (American),WS,word,body_parts,toe,toe,toe,0,0,0,1,0,nouns,,,,no,22
item_207,English (American),WS,word,body_parts,tongue,tongue,tongue,0,0,0,1,0,nouns,,,,no,24
item_208,English (American),WS,word,body_parts,tooth,tooth,tooth,0,0,0,1,0,nouns,,,,no,23
item_209,English (American),WS,word,body_parts,tummy,tummy,tummy,0,0,0,1,0,nouns,,,,no,22
item_21,English (American),WS,word,animals,butterfly,butterfly,butterfly,1,0,0,0,0,nouns,,,,no,24
item_210,English (American),WS,word,body_parts,vagina,vagina,vagina,0,0,0,1,0,nouns,,,,no,
item_211,English (American),WS,word,household,basket,basket,basket,0,1,0,0,0,nouns,,,,no,26
item_212,English (American),WS,word,household,blanket,blanket,blanket,0,1,0,0,0,nouns,,,,no,22
item_213,English (American),WS,word,household,bottle,bottle,bottle,0,1,0,0,0,nouns,,,,no,20
item_214,English (American),WS,word,household,bowl,bowl,bowl,0,1,0,0,0,nouns,,,,no,23
item_215,English (American),WS,word,household,box,box,box,0,1,0,0,0,nouns,,,,no,23
item_216,English (American),WS,word,household,broom,broom,broom,0,1,0,0,0,nouns,,,,no,25
item_217,English (American),WS,word,household,brush,brush,brush,0,1,0,0,0,nouns,,,,no,23
item_218,English (American),WS,word,household,bucket,bucket,bucket,0,1,0,0,0,nouns,,,,no,27
item_219,English (American),WS,word,household,camera,camera,camera,0,1,0,0,0,nouns,,,,no,27
item_22,English (American),WS,word,animals,cat,cat,cat,1,0,0,0,0,nouns,,,,no,18
item_220,English (American),WS,word,household,can,can,can,0,1,0,0,0,nouns,,object,,no,28
item_221,English (American),WS,word,household,clock,clock,clock,0,1,0,0,0,nouns,,,,no,25
item_222,English (American),WS,word,household,comb,comb,comb,0,1,0,0,0,nouns,,,,no,26
item_223,English (American),WS,word,household,cup,cup,cup,0,1,0,0,0,nouns,,,,no,21
item_224,English (American),WS,word,household,dish,dish,dish,0,1,0,0,0,nouns,,,,no,28
item_225,English (American),WS,word,household,fork,fork,fork,0,1,0,0,0,nouns,,,,no,23
item_226,English (American),WS,word,household,garbage,garbage,trash,0,1,0,0,0,nouns,,,,no,26
item_227,English (American),WS,word,household,glass,glass,glass,0,1,0,0,0,nouns,,,,no,27
item_228,English (American),WS,word,household,glasses,glasses,glasses,0,1,0,0,0,nouns,,,,no,25
item_229,English (American),WS,word,household,hammer,hammer,hammer,0,1,0,0,0,nouns,,,,no,27
item_23,English (American),WS,word,animals,chicken,chicken,chicken,1,0,0,0,0,nouns,,animal,,no,23
item_230,English (American),WS,word,household,jar,jar,jar,0,1,0,0,0,nouns,,,,no,30
item_231,English (American),WS,word,household,keys,keys,key,0,1,0,0,0,nouns,,,,no,22
